job,answer
fabricant de balais,"bois,liège,meubles"
fabricant de bas,industrie textile
fabricant de bas de soie,industrie textile
fabricant de bijouterie,"bijouterie,gravure,frappe"
fabricant de bière,produits alimentaires
fabricant de bois à galoches,"bois,liège,meubles"
fabricant de bonneterie,industrie textile
fabricant de bonnets,industrie textile
fabricant de bouchons,industrie du papier
fabricant de boutons,industrie du papier
fabricant de boîtes,industrie du papier
fabricant de briques,pierre et terre
fabricant de brosses,industrie du papier
fabricant de cannes,"bois,liège,meubles"
fabricant de cannes de parapluies,industrie des métaux
fabricant de cartonnages,industrie du papier
fabricant de cartons,industrie du papier
fabricant de casquettes,industrie textile
fabricant de chaises,"bois,liège,meubles"
fabricant de chamois,industrie textile
fabricant de chandelles,industrie chimique
fabricant de chapeaux de paille,industrie textile
fabricant de chaussons,"vêtements, lingerie,chaussures,literies"
fabricant de chaussures,"vêtements, lingerie,chaussures,literies"
fabricant de chaux,pierre et terre
fabricant de chicorée,produits alimentaires
fabricant de chocolat,produits alimentaires
fabricant de choucroute,produits alimentaires
fabricant de cidre,produits alimentaires
fabricant de cierges,industrie chimique
fabricant de cigars,industrie du papier
fabricant de conserves,produits alimentaires
fabricant de coton,industrie textile
fabricant de couteaux,industrie des métaux
fabricant de coutellerie,industrie des métaux
fabricant de couvertures,industrie textile
fabricant de craie,pierre et terre
fabricant de draperies,industrie textile
fabricant de draps,industrie textile
fabricant de drêche,industrie textile
fabricant de filozelles,industrie textile
fabricant de galoches,"vêtements, lingerie,chaussures,literies"
fabricant de gants,industrie textile
fabricant de glucose,industrie chimique
fabricant de harnais,industrie des métaux
fabricant de jouets,"bois,liège,meubles"
fabricant de laine,industrie textile
fabricant de limes,industrie des métaux
fabricant de lin,industrie textile
fabricant de matières plastiques,industrie chimique
fabricant de meubles,"bois,liège,meubles"
fabricant de mousseline,industrie textile
fabricant de moutarde,produits alimentaires
fabricant de paillassons,industrie textile
fabricant de pains d'épices,produits alimentaires
fabricant de paniers,"bois,liège,meubles"
fabricant de pantoufles,"vêtements, lingerie,chaussures,literies"
fabricant de papier,industrie du papier
fabricant de papier peint,industrie du papier
fabricant de papiers peints,industrie du papier
fabricant de parapluies,industrie du papier
fabricant de passementerie,industrie textile
fabricant de peignes,industrie des métaux
fabricant de peignes en corne,"bijouterie,gravure,frappe"
fabricant de pianos,"bois,liège,meubles"
fabricant de pipes,"bois,liège,meubles"
fabricant de plâtre,pierre et terre
fabricant de poterie,pierre et terre
fabricant de poteries,pierre et terre
fabricant de pulpe chimique,industrie chimique
fabricant de pâtes,produits alimentaires
fabricant de pâtes alimentaires,produits alimentaires
fabricant de ressorts,industrie des métaux
fabricant de sabots,"vêtements, lingerie,chaussures,literies"
fabricant de serge,industrie textile
fabricant de siamoises,industrie textile
fabricant de soieries,industrie textile
fabricant de sucre,produits alimentaires
fabricant de sucre et cultivateur,produits alimentaires
fabricant de tabac,produits alimentaires
fabricant de tapis,industrie textile
fabricant de tapisserie,industrie textile
fabricant de tissus,industrie textile
fabricant de toiles,industrie textile
fabricant de tresses,industrie textile
fabricant de tuiles,pierre et terre
fabricant de tulle,industrie textile
fabricant de velours,industrie textile
fabricant de vermicelles,produits alimentaires
fabricant de vinaigre,produits alimentaires
fabricant en laine,industrie textile
fabricant en soieries,industrie textile
fabricant maroquinier,industrie textile
fabricant mégissier,industrie du papier
fabricant opticien,horlogerie
fabricant tanneur,industrie textile
fabricante,industrie textile
fabricante d'étoffes,industrie textile
fabricante de broderies,industrie textile
fabricante de cartonnages,industrie du papier
fabricante de cartons,industrie du papier
fabricante de chapeaux,industrie textile
fabricante de chapeaux de paille,industrie textile
fabricante de confection,"vêtements, lingerie,chaussures,literies"
fabricante de frocs,industrie textile
fabricante de laine,industrie textile
fabricante de lin,industrie textile
fabricante de papier,industrie du papier
fabricante de pipes,industrie des métaux
fabricante de robes,"vêtements, lingerie,chaussures,literies"
fabricante de sacs de papier,industrie du papier
fabricante de soierie,industrie textile
fabricante de tabac,industrie du papier
fabricante de velours,industrie textile
fabricateur,industrie textile
fabricatrice,industrie textile
facteur,transports
facteur au bureau des messageries,transports
facteur aux chemins de fer,transports
facteur aux postes,administration publique
facteur aux écritures cff,transports
facteur auxiliaire,transports
facteur auxiliaire de poste,transports
facteur cff,transports
facteur chef,administration publique
facteur chef de gare,transports
facteur chemin de fer,transports
facteur courrier,transports
facteur d'enregistrement intérisyndic aux chemins de fer,transports
facteur d'instruments,horlogerie
facteur d'instruments de musique,industrie des métaux
facteur d'orgues,"bois,liège,meubles"
facteur de banque,"banques,établissements financiers"
facteur de bateaux,transports
facteur de beurre,produits alimentaires
facteur de diligences,transports
facteur de gare,transports
facteur de la poste,transports
facteur de pianos,"bois,liège,meubles"
facteur de poste,transports
facteur de poste en retraite,administration publique
facteur de postes,administration publique
facteur de première classe à la compagnie des chemins de fer,transports
facteur de ville,transports
facteur des mandats,"banques,établissements financiers"
facteur des télégraphes,transports
facteur du chemin de fer,transports
facteur du télégraphe en retraite,administration publique
facteur en chef,administration publique
facteur en chef de poste,transports
facteur en retraite,transports
facteur engrais,industrie chimique
facteur enregistant,transports
facteur enregistrant à la cff,transports
facteur et cafetier,"hôtellerie,restauration"
facteur et télégraphiste,transports
facteur intérim,transports
facteur local,transports
facteur mixte aux chemins de fer,transports
facteur monteur en instruments de musique,horlogerie
facteur municipal,administration publique
facteur postes,transports
facteur postes et télécommmunications,transports
facteur postes retraité,administration publique
